node ID: 2302, ground truth SMILE: C1=CC=C(C(=C1)C(=O)O)C(=O)O
node ID: 3435, ground truth SMILE: COC1=CC=C(C=C1)N2CCNCC2
top 10 test cadidates: 
smiles: CN(C1=CC=CC(=C1CO)C2CC2)N, s:  0.00009
smiles: CC1=CC(=CC=C1)CCC(=O)N(C)N, s:  0.00009
smiles: CCN(CC)C(=O)C1=CC(=CC=C1)N, s:  0.00009
smiles: CC1=CC(=CC=C1)C(C)C(=O)N(C)N, s:  0.00009
smiles: CC1=CC(=CC=C1)CCCC(=O)NN, s:  0.00009
smiles: CC1=CC(=CC=C1)C(C)(C)C(=O)NN, s:  0.00009
smiles: CC(=C)C(C1=CC=CC=C1)(N(C)N)O, s:  0.00009
smiles: CC(=C)C(C1=CC(=CC=C1)OC)NN, s:  0.00009
smiles: CC(=C)C(C1=CC=CC=C1OC)NN, s:  0.00009
smiles: CC(=C)C(C1=CC=C(C=C1)OC)NN, s:  0.00009
node ID: 6021, ground truth SMILE: CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
top 10 test cadidates: 
smiles: CCNC1=NC(=NC(=N1)C(C)S)NC(C)C, s:  0.00040
smiles: CCNC1=NC(=NC(=N1)SCC)NC(C)C, s:  0.00036
smiles: CCCNC1=NC(=NC(=N1)SC)NC(C)C, s:  0.00034
smiles: CCC(C)NC1=NC(=NC(=N1)NCC)CS, s:  0.00033
smiles: CCC(C)NC1=NC(=NC(=N1)NCC)SC, s:  0.00033
smiles: CC(C)NC1=NC(=NC(=N1)CS)NC(C)C, s:  0.00033
smiles: CCNC1=NC(=NC(=N1)SC)NCC(C)C, s:  0.00032
smiles: CC1=NN(C(=C1CNC(C)CC2CC2)Cl)C, s:  0.00032
smiles: CC1=NN(C(=C1Cl)CNC(C)CC2CC2)C, s:  0.00032
smiles: CC1=NN(C(=C1Cl)CNCC(C)C2CC2)C, s:  0.00032
node ID: 5212, ground truth SMILE: CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
top 10 test cadidates: 
smiles: CCCNC1=NC(=NC(=N1)OC)NC(C)C, s:  0.00049
smiles: CC(C)NC1=NC(=NC(=N1)OC)NC(C)C, s:  0.00048
smiles: CCC(C)NC1=NC(=NC(=N1)NCC)OC, s:  0.00047
smiles: CCNC1=NC(=NC(=N1)OC)NCC(C)C, s:  0.00046
