Library_node,SMILES,Connected_node,Expected_SMILES
251,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,256,COC(=O)CC1=CNC2=CC=CC=C21
252,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,257,COC(=O)CC1=CNC2=CC=CC=C21
252,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,256,COC(=O)CC1=CNC2=CC=CC=C21
253,CN1C=NC2=C1C(=O)N(C(=O)N2)C,254,CN1C=NC2=C1C(=O)N(C(=O)N2)C
253,CN1C=NC2=C1C(=O)N(C(=O)N2)C,284,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
254,CN1C=NC2=C1C(=O)N(C(=O)N2)C,284,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
255,CCOP(=O)(OCC)OCC,285,CCCCOP(=O)(OCCCC)OCCCC
256,COC(=O)CC1=CNC2=CC=CC=C21,286,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
256,COC(=O)CC1=CNC2=CC=CC=C21,257,COC(=O)CC1=CNC2=CC=CC=C21
257,COC(=O)CC1=CNC2=CC=CC=C21,286,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
258,CCCCCCCCCC[N+](C)(C)[O-],266,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O
258,CCCCCCCCCC[N+](C)(C)[O-],287,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
258,CCCCCCCCCC[N+](C)(C)[O-],288,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
259,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,289,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
260,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O,290,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
261,C(CCOCCCCOCCCCO)CO,291,C(CCOCCCCOCCCCOCCCCO)CO
262,C(COCCOCCOCCOCCO)O,275,C(COCCOCCOCCOCCOCCOCCO)O
263,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,292,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
264,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,268,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
264,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,293,CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O
264,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,294,COC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
265,CCCCCCCCCCCCCCCC(=O)N,295,CCCCCCCCCCCCCCCCCCCCCC(=O)N
266,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,287,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
266,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,288,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
267,C1=CC=C(C(=C1)C2=CC=C(C=C2)C(=O)O)C3=NNN=N3,296,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
